country,date,CO2_emissions,GDP,Population,Energy_use,Urbanization_rate,Renewable_elec_output
Australia,2015,385782.4,1351768945139.11,23815995.0,5483.81640154023,85.701,13.6378410946741
Australia,2014,379267.2,1468597690006.22,23475686.0,5334.68167873774,85.602,14.9067122095833
Australia,2013,388427.4,1577301840200.01,23128129.0,5468.39136879598,85.502,13.2641083883167
Australia,2012,395690.0,1547649835732.89,22733465.0,5575.28709327857,85.402,10.5926533603071
Australia,2011,394436.7,1398701323029.63,22340024.0,5745.23218954465,85.3,10.4266522781963
Australia,2010,395993.2,1148890200292.42,22031750.0,5793.11602573559,85.182,8.61187962842023
Australia,2009,393859.7,928762122698.05,21691653.0,5862.5646464103,85.063,7.49793425905399
Australia,2008,387570.3,1056112427190.38,21249199.0,5964.66605635347,84.943,8.11525755637195
Australia,2007,384368.3,855007458585.224,20827622.0,5868.34089844726,84.822,8.64807246716794
Australia,2006,374104.4,748417562769.636,20450966.0,5778.28181808136,84.7,9.2993077726263
Australia,2005,368801.9,695692898676.56,20176844.0,5624.19201932671,84.582,8.80370663945662
Australia,2004,366141.6,614659980082.515,19932722.0,5652.7633305677,84.463,8.1866501908305
Australia,2003,352893.5,467739079790.332,19720737.0,5618.08648429316,84.343,8.44069886574851
Australia,2002,353315.8,395788696012.059,19495210.0,5614.26334981772,84.222,7.86091882240146
Australia,2001,345609.4,379629301675.108,19274701.0,5486.05610016985,84.1,8.09845495284596
Australia,2000,339422.8,416167815092.908,19028802.0,5680.90287554624,84.235,8.3816185720276
Australia,1999,333677.7,389652212056.649,18812264.0,5644.26397588297,84.37,8.54405358817839
Australia,1998,327536.9,399674421759.479,18607584.0,5584.51919389427,84.503,8.4340500156395
Australia,1997,307778.5,435642611296.586,18423037.0,5497.49658538926,84.636,9.58767572659215
Australia,1996,300180.4,401341880620.728,18224767.0,5419.10110565474,84.767,9.22972782400226
Australia,1995,290141.5,368166023166.023,18004882.0,5148.3442101981,84.898,9.62414281994155
